document,label,is_train
dataset/train/1008.3289v1.Analyzing_the_Social_Structure_and_Dynamics_of_E_mail_and_Spam_in_Massive_Backbone_Internet_Traffic.png,cs.SI,1
dataset/train/1009.0402v1.An_Applied_Study_on_Educational_Use_of_Facebook_as_a_Web_2_0_Tool__The_Sample_Lesson_of_Computer_Networks_and_Communication.png,cs.SI,1
dataset/train/1011.2245v1.A_Distributed_Method_for_Trust_Aware_Recommendation_in_Social_Networks.png,cs.SI,1
dataset/train/1011.6266v1.Characterizing_the_speed_and_paths_of_shared_bicycles_in_Lyon.png,cs.SI,1
dataset/train/1012.2699v2.Prognostic_Watch_of_the_Electric_Power_System.png,cs.SI,1
dataset/test/1012.5994v1.Toward_Emerging_Topic_Detection_for_Business_Intelligence__Predictive_Analysis_of__Meme__Dynamics.png,cs.SI,0
dataset/test/1101.5088v1.On_Sharing_Viral_Video_over_an_Ad_Hoc_Wireless_Network.png,cs.SI,0
dataset/test/1104.3219v1.On_Social_Temporal_Group_Query_with_Acquaintance_Constraint.png,cs.SI,0
dataset/test/1105.0903v1.A_Month_in_the_Life_of_Groupon.png,cs.SI,0
dataset/test/1107.5241v3.Flooding_Time_in_Opportunistic_Networks_under_Power_Law_and_Exponential_Inter_Contact_Times.png,cs.SI,0
dataset/train/0704.0860v1.Availability_assessment_of_SunOS_Solaris_Unix_Systems_based_on_Syslogd_and_wtmpx_logfiles___a_case_study.png,cs.PF,1
dataset/train/0704.0879v1.A_Hierarchical_Approach_for_Dependability_Analysis_of_a_Commercial_Cache_Based_RAID_Storage_Architecture.png,cs.PF,1
dataset/train/0705.1915v3.A_Technical_Report_On_Grid_Benchmarking_using_ATLAS_V_O.png,cs.PF,1
dataset/train/0710.4633v1.Nano_Sim__A_Step_Wise_Equivalent_Conductance_based_Statistical_Simulator_for_Nanotechnology_Circuit_Design.png,cs.PF,1
dataset/train/cs_0103014v1.Faster_than_light_effects_and_negative_group_delays_in_optics_and_electronics__and_their_applications.png,cs.PF,1
dataset/test/cs_0111034v1.Experiences_with_advanced_CORBA_services.png,cs.PF,0
dataset/test/cs_0205062v1.Minimizing_Cache_Misses_in_Scientific_Computing_Using_Isoperimetric_Bodies.png,cs.PF,0
dataset/test/cs_0301005v1.Modelling_Delay_Jitter_in_Voice_over_IP.png,cs.PF,0
dataset/test/cs_0304015v1.A_Performance_Study_of_Monitoring_and_Information_Services_for_Distributed_Systems.png,cs.PF,0
dataset/test/cs_0305054v1.A_Monitoring_System_for_the_BaBar_INFN_Computing_Cluster.png,cs.PF,0
dataset/train/2311.16643v2.Simplifying_modular_lattices_by_removing_doubly_irreducible_elements.png,cs.DM,1
dataset/train/2504.11450v1.Optimal_Hardness_of_Online_Algorithms_for_Large_Independent_Sets.png,cs.DM,1
dataset/train/cs_0010036v1.Lattice_Structure_and_Convergence_of_a_Game_of_Cards.png,cs.DM,1
dataset/train/cs_0011031v1.SimLab_1_1__Software_for_Sensitivity_and_Uncertainty_Analysis__tool_for_sound_modelling.png,cs.DM,1
dataset/train/cs_0106001v1.Approximating_the_satisfiability_threshold_for_random_k_XOR_formulas.png,cs.DM,1
dataset/test/cs_0106002v2.Solving_Assembly_Line_Balancing_Problems_by_Combining_IP_and_CP.png,cs.DM,0
dataset/test/cs_0111061v2.On_a_Special_Case_of_the_Generalized_Neighbourhood_Problem.png,cs.DM,0
dataset/test/cs_0209005v1.Sampling_from_a_couple_of_positively_correlated_binomial_variables.png,cs.DM,0
dataset/test/cs_0301025v1.PHORMA__Perfectly_Hashed_Order_Restricted_Multidimensional_Array.png,cs.DM,0
dataset/test/cs_0305006v1.On_the_Ramsey_Numbers_for_Bipartite_Multigraphs.png,cs.DM,0
dataset/train/0705.0742v1.MIMO_detection_employing_Markov_Chain_Monte_Carlo.png,cs.GL,1
dataset/train/0706.0484v1.Motivation__Design__and_Ubiquity__A_Discussion_of_Research_Ethics_and_Computer_Science.png,cs.GL,1
dataset/train/0712.2594v1.Stop_That_Subversive_Spreadsheet_.png,cs.GL,1
dataset/train/0804.0879v1.The_equations_of_the_ideal_latches.png,cs.GL,1
dataset/train/cs_0012003v1.Questions_for_a_Materialist_Philosophy_Implying_the_Equivalence_of_Computers_and_Human_Cognition.png,cs.GL,1
dataset/test/cs_0106022v1.One_More_Revolution_to_Make__Free_Scientific_Publishing.png,cs.GL,0
dataset/test/cs_0110018v2.ENUM__The_Collision_of_Telephony_and_DNS_Policy.png,cs.GL,0
dataset/test/cs_0210001v1.Edsger_Wybe_Dijkstra__1930____2002___A_Portrait_of_a_Genius.png,cs.GL,0
dataset/test/cs_0306132v1.Classical_and_Nonextensive_Information_Theory.png,cs.GL,0
dataset/test/cs_0402037v2.The_pre_history_of_quantum_computation.png,cs.GL,0
dataset/train/cs_0002008v1.On_Automata_with_Boundary.png,cs.DC,1
dataset/train/cs_0003054v1.A_Problem_Specific_Fault_Tolerance_Mechanism_for_Asynchronous__Distributed_Systems.png,cs.DC,1
dataset/train/cs_0004013v1.Sorting_Integers_on_the_AP1000.png,cs.DC,1
dataset/train/cs_0006004v1.A_Note_on__Optimal_Static_Load_Balancing_in_Distributed_Computer_Systems_.png,cs.DC,1
dataset/train/cs_0006008v1.Performing_work_efficiently_in_the_presence_of_faults.png,cs.DC,1
dataset/test/cs_0007015v1.Phase_Clocks_for_Transient_Fault_Repair.png,cs.DC,0
dataset/test/cs_0009021v1.Nimrod_G__An_Architecture_of_a_Resource_Management_and_Scheduling_System_in_a_Global_Computational_Grid.png,cs.DC,0
dataset/test/cs_0012024v4.Byzantine_Agreement_with_Faulty_Majority_using_Bounded_Broadcast.png,cs.DC,0
dataset/test/cs_0102016v1.A_Scientific_Data_Management_System_for_Irregular_Applications.png,cs.DC,0
dataset/test/cs_0102017v1.Components_and_Interfaces_of_a_Process_Management_System_for_Parallel_Programs.png,cs.DC,0
dataset/train/cs_0111029v1.Versatile_Data_Acquisition_and_Controls_for_Epics_Using_Vme_Based_Fpgas.png,cs.AR,1
dataset/train/cs_0111030v1.A_Dual_Digital_Signal_Processor_VME_Board_For_Instrumentation_And_Control_Applications.png,cs.AR,1
dataset/train/cs_0111032v1.SNS_Timing_System.png,cs.AR,1
dataset/train/cs_0207012v1.Synthesis_of_Low_Power_Digital_Circuits_Derived_from_Binary_Decision_Diagrams.png,cs.AR,1
dataset/train/cs_0207014v1.On_the_Information_Engine_of_Circuit_Design.png,cs.AR,1
dataset/test/cs_0405015v1.A_High_Level_Reconfigurable_Computing_Platform_Software_Frameworks.png,cs.AR,0
dataset/test/cs_0407032v1.Exposing_Software_Defined_Radio_Functionality_To_Native_Operating_System_Applications_via_Virtual_Devices.png,cs.AR,0
dataset/test/cs_0409025v1.Topics_in_asynchronous_systems.png,cs.AR,0
dataset/test/cs_0412040v1.Data_stationary_Architecture_to_Execute_Quantum_Algorithms_Classically.png,cs.AR,0
dataset/test/cs_0503066v1.A_Practical_Approach_for_Circuit_Routing_on_Dynamic_Reconfigurable_Devices.png,cs.AR,0
dataset/train/cs_9308101v1.Dynamic_Backtracking.png,cs.AI,1
dataset/train/cs_9308102v1.A_Market_Oriented_Programming_Environment_and_its_Application_to_Distributed_Multicommodity_Flow_Problems.png,cs.AI,1
dataset/train/cs_9309101v1.An_Empirical_Analysis_of_Search_in_GSAT.png,cs.AI,1
dataset/train/cs_9311101v1.The_Difficulties_of_Learning_Logic_Programs_with_Cut.png,cs.AI,1
dataset/train/cs_9311102v1.Software_Agents__Completing_Patterns_and_Constructing_User_Interfaces.png,cs.AI,1
dataset/test/cs_9312101v1.Decidable_Reasoning_in_Terminological_Knowledge_Representation_Systems.png,cs.AI,0
